CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd,DBN
1,M,M015,P.S. 015 Roberto Clemente,0K,GEN ED,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,0K,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,1,GEN ED,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,1,CTT,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,2,GEN ED,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,2,CTT,-,-,-,17.0,1.0,17.0,17.0,17.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,3,GEN ED,-,-,-,12.0,1.0,12.0,12.0,12.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,3,CTT,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,4,GEN ED,-,-,-,26.0,2.0,13.0,12.0,14.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,5,GEN ED,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,0K-09,SPEC ED,-,-,12:1:1,9.0,1.0,9.0,9.0,9.0,ATS,,1,01M015
1,M,M015,P.S. 015 Roberto Clemente,,,,,,,,,,,,8.4,1,01M015
1,M,M019,P.S. 019 Asher Levy,0K,GEN ED,-,-,-,39.0,2.0,19.5,18.0,21.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,0K,CTT,-,-,-,12.0,1.0,12.0,12.0,12.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,1,GEN ED,-,-,-,39.0,2.0,19.5,19.0,20.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,1,CTT,-,-,-,13.0,1.0,13.0,13.0,13.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,2,GEN ED,-,-,-,46.0,2.0,23.0,22.0,24.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,3,GEN ED,-,-,-,35.0,2.0,17.5,17.0,18.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,4,GEN ED,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,4,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,5,GEN ED,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,5,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:1,7.0,1.0,7.0,7.0,7.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:1:1,11.0,1.0,11.0,11.0,11.0,ATS,,1,01M019
1,M,M019,P.S. 019 Asher Levy,,,,,,,,,,,,10.0,1,01M019
1,M,M020,P.S. 020 Anna Silver,0K,GEN ED,-,-,-,89.0,4.0,22.3,20.0,23.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,0K,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,1,GEN ED,-,-,-,69.0,3.0,23.0,22.0,24.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,1,CTT,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,2,GEN ED,-,-,-,55.0,3.0,18.3,16.0,21.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,2,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,3,GEN ED,-,-,-,57.0,3.0,19.0,17.0,20.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,3,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,4,GEN ED,-,-,-,70.0,3.0,23.3,23.0,24.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,4,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,5,GEN ED,-,-,-,57.0,2.0,28.5,28.0,29.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,5,CTT,-,-,-,29.0,1.0,29.0,29.0,29.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,0K-09,SPEC ED,-,-,12:1:1,34.0,3.0,11.3,11.0,12.0,ATS,,1,01M020
1,M,M020,P.S. 020 Anna Silver,,,,,,,,,,,,13.4,1,01M020
1,M,M034,P.S. 034 Franklin D. Roosevelt,0K,GEN ED,-,-,-,26.0,2.0,13.0,12.0,14.0,ATS,,1,01M034
1,M,M064,P.S. 064 Robert Simon,0K,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,1,01M064
1,M,M034,P.S. 034 Franklin D. Roosevelt,1,GEN ED,-,-,-,16.0,1.0,16.0,16.0,16.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,1,CTT,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,2,GEN ED,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,2,CTT,-,-,-,20.0,1.0,20.0,20.0,20.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,3,GEN ED,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,3,CTT,-,-,-,14.0,1.0,14.0,14.0,14.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,4,GEN ED,-,-,-,18.0,1.0,18.0,18.0,18.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,4,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,5,GEN ED,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,5,CTT,-,-,-,19.0,1.0,19.0,19.0,19.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,6,GEN ED,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,6,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,7,GEN ED,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,7,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,8,GEN ED,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,8,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,0K-09,SPEC ED,-,-,12:1,20.0,2.0,10.0,8.0,12.0,ATS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,ENGLISH,MS English Core,-,76.0,3.0,25.3,25.0,26.0,STARS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,MATH,MS Math Core,-,76.0,3.0,25.3,25.0,26.0,STARS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,SCIENCE,MS Science Core,-,76.0,3.0,25.3,25.0,26.0,STARS,,1,01M034
1,M,M034,P.S. 034 Franklin D. Roosevelt,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,76.0,3.0,25.3,25.0,26.0,STARS,,1,01M034
