DBN,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
01M015,,88,60,,22.0,90.0,8.5,7.6,7.5,7.8,7.5,7.8,7.6,7.9,,,,,8.0,7.7,7.5,7.9
01M019,,100,60,,34.0,161.0,8.4,7.6,7.6,7.8,8.6,8.5,8.9,9.1,,,,,8.5,8.1,8.2,8.4
01M020,,88,73,,42.0,367.0,8.9,8.3,8.3,8.6,7.6,6.3,6.8,7.5,,,,,8.2,7.3,7.5,8.0
01M034,89.0,73,50,145.0,29.0,151.0,8.8,8.2,8.0,8.5,7.0,6.2,6.8,7.8,6.2,5.9,6.5,7.4,7.3,6.7,7.1,7.9
01M063,,100,60,,23.0,90.0,8.7,7.9,8.1,7.9,8.4,7.3,7.8,8.1,,,,,8.5,7.6,7.9,8.0
01M064,,94,61,,32.0,159.0,8.8,8.2,8.2,8.5,8.6,7.6,8.3,8.5,,,,,8.7,7.9,8.2,8.5
01M110,,91,79,,32.0,302.0,8.4,7.6,7.6,7.7,6.9,5.3,5.7,6.5,,,,,7.6,6.4,6.6,7.1
01M134,,74,66,,23.0,192.0,9.0,7.9,8.0,7.9,6.4,6.2,6.5,7.3,,,,,7.7,7.0,7.2,7.6
01M137,,67,75,,14.0,145.0,8.7,8.0,8.0,8.2,6.9,6.3,6.1,6.9,,,,,7.8,7.2,7.1,7.5
01M140,98.0,94,68,185.0,34.0,213.0,8.8,8.0,8.1,8.4,7.3,6.5,6.3,7.3,7.6,6.7,7.5,8.0,7.9,7.1,7.3,7.9
01M142,,100,100,,38.0,331.0,9.1,8.0,8.1,8.3,7.7,7.2,7.8,8.1,,,,,8.4,7.6,8.0,8.2
01M184,96.0,82,80,156.0,36.0,382.0,8.7,8.1,8.0,8.0,7.9,6.7,7.2,8.1,7.4,5.9,7.2,7.7,8.0,6.9,7.5,7.9
01M188,82.0,59,40,119.0,22.0,106.0,8.7,8.1,8.2,7.9,5.5,5.0,5.7,6.4,6.8,6.3,7.0,7.5,7.0,6.5,7.0,7.2
01M292,89.0,70,39,379.0,26.0,151.0,7.8,7.7,7.4,7.6,6.3,5.3,6.1,6.5,6.0,5.6,6.1,6.7,6.7,6.2,6.6,7.0
01M301,99.0,100,21,181.0,22.0,38.0,8.5,7.3,7.4,7.6,7.7,7.6,8.5,8.0,5.8,5.9,6.4,7.0,7.3,6.9,7.4,7.5
01M315,,100,67,,20.0,135.0,9.0,8.6,8.8,8.7,8.3,7.8,8.3,8.2,,,,,8.7,8.2,8.5,8.5
01M332,96.0,100,86,110.0,14.0,93.0,8.4,7.9,7.8,8.0,8.5,7.8,8.5,8.8,7.2,6.6,7.0,8.1,8.0,7.4,7.7,8.3
01M345,100.0,87,53,254.0,20.0,127.0,8.4,7.6,7.6,7.7,6.5,4.9,6.0,6.5,7.0,6.3,7.0,7.6,7.3,6.3,6.9,7.3
01M361,,74,42,,17.0,93.0,8.9,8.2,8.3,8.5,8.3,7.8,8.6,8.6,,,,,8.6,8.0,8.5,8.5
01M363,,54,40,,13.0,115.0,8.7,8.1,8.4,7.9,8.0,6.4,7.7,7.4,,,,,8.3,7.2,8.1,7.6
01M364,,86,54,,19.0,152.0,9.3,8.9,8.9,8.8,9.3,8.5,9.1,9.0,,,,,9.3,8.7,9.0,8.9
01M378,78.0,91,82,204.0,20.0,203.0,8.8,7.9,7.8,8.6,6.6,4.9,5.1,6.6,7.5,7.7,7.3,8.0,7.6,6.8,6.7,7.7
01M448,84.0,95,10,385.0,37.0,46.0,7.9,7.4,7.2,7.3,6.6,5.8,6.6,7.3,6.0,5.7,6.3,7.0,6.8,6.3,6.7,7.2
01M450,0.0,98,28,,42.0,150.0,8.7,8.2,8.1,8.4,7.3,8.0,8.0,8.8,,,,,7.9,7.9,7.9,8.4
01M458,40.0,100,23,66.0,10.0,37.0,8.1,7.0,6.7,7.6,8.5,8.2,8.9,8.9,6.8,6.1,6.1,6.8,7.8,7.1,7.2,7.8
01M509,90.0,100,21,306.0,29.0,69.0,7.7,7.4,7.2,7.3,6.4,5.3,6.1,6.8,6.4,5.9,6.4,7.0,6.9,6.2,6.6,7.0
01M515,95.0,100,86,454.0,36.0,389.0,8.3,7.2,7.4,7.5,9.1,7.3,8.7,9.1,8.0,6.3,7.0,7.3,8.5,7.0,7.7,8.0
01M539,98.0,68,51,923.0,67.0,736.0,8.5,7.9,7.9,8.4,7.6,5.6,5.9,7.3,7.3,6.4,7.0,7.7,7.8,6.7,6.9,7.8
01M650,75.0,86,19,125.0,12.0,30.0,9.0,8.4,8.1,8.6,7.6,7.5,8.3,8.7,8.1,6.9,7.9,8.4,8.3,7.6,8.1,8.6
01M696,98.0,81,50,561.0,30.0,283.0,8.8,8.2,8.3,9.1,8.2,7.4,7.5,8.3,8.3,7.3,8.0,8.9,8.5,7.6,8.0,8.7
01M839,88.0,73,42,340.0,22.0,157.0,8.8,8.2,8.2,8.5,8.5,7.4,8.4,8.7,7.6,7.2,7.8,8.1,8.3,7.6,8.1,8.4
02M001,,85,77,,34.0,343.0,8.7,7.5,7.5,7.5,6.7,4.7,6.3,6.8,,,,,7.7,6.1,6.9,7.1
02M002,,71,78,,46.0,483.0,8.2,7.6,7.6,7.6,7.3,6.7,7.2,7.8,,,,,7.8,7.2,7.4,7.7
